Date,Match Time,Team 1,Team 1 Score,Team 2,Team 2 Score,Live Status,Event Name,Event Series
"Wed, May 3, 2023Today",1:00 PM,The Union,1,ODDIK,1,LIVE,Challengers League Brazil: Split 2,Regular Season–Week 5
"Wed, May 3, 2023Today",1:00 PM,Disguised,1,Turtle Troop,1,LIVE,Challengers League: North America,Split 2–Week 8
"Wed, May 3, 2023Today",3:00 PM,FUSION,0,Skull Cracker,0,LIVE,Challengers League LATAM North ACE: Split 2,Regular Phase–Week 2
"Wed, May 3, 2023Today",4:00 PM,TropiCaos,–,00Nation,–,Upcoming,Challengers League Brazil: Split 2,Regular Season–Week 5
"Wed, May 3, 2023Today",4:00 PM,FaZe Clan,–,OREsports,–,Upcoming,Challengers League: North America,Split 2–Week 8
"Wed, May 3, 2023Today",6:00 PM,Jadeite,–,Sengoku Gaming,–,Upcoming,Challengers League Japan: Split 2,Main Stage–Day 10
"Wed, May 3, 2023Today",6:00 PM,19esports,–,Six Karma,–,Upcoming,Challengers League LATAM North ACE: Split 2,Regular Phase–Week 2
"Wed, May 3, 2023Today",9:00 PM,SCARZ,–,Crazy Raccoon,–,Upcoming,Challengers League Japan: Split 2,Main Stage–Day 10
"Thu, May 4, 2023",12:00 AM,Crest Gaming Zst,–,FENNEL,–,Upcoming,Challengers League Japan: Split 2,Main Stage–Day 10
"Thu, May 4, 2023",1:00 AM,Rambutan ni Tatay,–,Oasis Gaming,–,Upcoming,Challengers League Philippines: Split 2,Regular Season–Week 6
"Thu, May 4, 2023",1:30 AM,Koopa Troopas,–,NerdPunt,–,Upcoming,Challengers League Oceania: Split 2,Group Stage–Week 5
"Thu, May 4, 2023",2:00 AM,EDward Gaming,–,Four Angry Men,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Group Stage–Opening (B)
"Thu, May 4, 2023",3:00 AM,CRIT Esports,–,XERXIA Esports,–,Upcoming,Challengers League Thailand: Split 2,Group Stage–Week 5
"Thu, May 4, 2023",3:00 AM,NORTHEPTION,–,IGZIST,–,Upcoming,Challengers League Japan: Split 2,Main Stage–Day 10
"Thu, May 4, 2023",3:00 AM,ONE Team Esports,–,Ghetto Artist,–,Upcoming,Challengers League Taiwan/Hong Kong: Split 2,Regular Season–Round 6
"Thu, May 4, 2023",3:30 AM,Guangzhou Long Lionz,–,The Who?,–,Upcoming,Challengers League Oceania: Split 2,Group Stage–Week 5
"Thu, May 4, 2023",4:00 AM,Todak,–,Kizuna Esports,–,Upcoming,Challengers League Malaysia/Singapore: Split 2,Group Stage–Day 14
"Thu, May 4, 2023",4:00 AM,Stream Raiders Nacague,–,NAOS,–,Upcoming,Challengers League Philippines: Split 2,Regular Season–Week 6
"Thu, May 4, 2023",5:00 AM,Team NKT,–,Attack All Around,–,Upcoming,Challengers League Thailand: Split 2,Group Stage–Week 5
"Thu, May 4, 2023",5:00 AM,S2 Esports,–,UTT Esports,–,Upcoming,Challengers League Taiwan/Hong Kong: Split 2,Regular Season–Round 6
"Thu, May 4, 2023",5:00 AM,Weibo Gaming,–,Monarch Effect,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Group Stage–Opening (B)
"Thu, May 4, 2023",6:20 AM,Teo Teo Teo,–,Bikini Bottom Pratahouse,–,Upcoming,Challengers League Malaysia/Singapore: Split 2,Group Stage–Day 14
"Thu, May 4, 2023",6:30 AM,Orangutan,–,MLT Esports,–,Upcoming,Challengers League South Asia: Split 2,League Stage–Week 2
"Thu, May 4, 2023",9:00 AM,FUT Esports,–,Karmine Corp,–,Upcoming,Champions Tour 2023: EMEA League,Regular Season–Week 6
"Thu, May 4, 2023",12:00 PM,KOI,–,BBL Esports,–,Upcoming,Champions Tour 2023: EMEA League,Regular Season–Week 6
"Thu, May 4, 2023",1:00 PM,RED Canids,–,TBK Esports,–,Upcoming,Challengers League Brazil: Split 2,Regular Season–Week 5
"Thu, May 4, 2023",1:00 PM,M80,–,Shopify Rebellion,–,Upcoming,Challengers League: North America,Split 2–Week 8
"Thu, May 4, 2023",1:00 PM,Optix,–,9z Team,–,Upcoming,Challengers League LATAM South FiRe: Split 2,Regular Phase–Week 2
"Thu, May 4, 2023",4:00 PM,Keyd Stars,–,Liberty,–,Upcoming,Challengers League Brazil: Split 2,Regular Season–Week 5
"Thu, May 4, 2023",4:00 PM,The Guard,–,Moist Moguls,–,Upcoming,Challengers League: North America,Split 2–Week 8
"Thu, May 4, 2023",4:00 PM,Furious Gaming,–,INFINITY,–,Upcoming,Challengers League LATAM South FiRe: Split 2,Regular Phase–Week 2
"Thu, May 4, 2023",6:00 PM,Crest Gaming Zst,–,SCARZ,–,Upcoming,Challengers League Japan: Split 2,Main Stage–Day 11
"Thu, May 4, 2023",6:00 PM,RETA Esports,–,19esports,–,Upcoming,Challengers League LATAM North ACE: Split 2,Regular Phase–Week 2
"Thu, May 4, 2023",9:00 PM,IGZIST,–,Sengoku Gaming,–,Upcoming,Challengers League Japan: Split 2,Main Stage–Day 11
"Fri, May 5, 2023",12:00 AM,NORTHEPTION,–,Jadeite,–,Upcoming,Challengers League Japan: Split 2,Main Stage–Day 11
"Fri, May 5, 2023",1:30 AM,Funcrew,–,xyz,–,Upcoming,Challengers League Oceania: Split 2,Group Stage–Week 5
"Fri, May 5, 2023",2:00 AM,FunPlus Phoenix,–,Kingzone,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Group Stage–Opening (C)
