Event Name,Event Link,Event Status,Prize Pool,Dates,Region
Champions Tour 2023: Americas League,https://www.vlr.gg/event/1189/champions-tour-2023-americas-league,ongoing,"TBD								
									Prize Pool","Apr 1—May 28								
									Dates",us
Champions Tour 2023: EMEA League,https://www.vlr.gg/event/1190/champions-tour-2023-emea-league,ongoing,"TBD								
									Prize Pool","Mar 27—May 28								
									Dates",de
Champions Tour 2023: Pacific League,https://www.vlr.gg/event/1191/champions-tour-2023-pacific-league,ongoing,"$250,000								
									Prize Pool","Mar 25—May 28								
									Dates",kr
Challengers League: North America,https://www.vlr.gg/event/1458/challengers-league-north-america,ongoing,"$80,000								
									Prize Pool","Feb 1—Jun 10								
									Dates",us
Challengers League Brazil: Split 2,https://www.vlr.gg/event/1575/challengers-league-brazil-split-2,ongoing,"$82,339								
									Prize Pool","Apr 5—Jun 15								
									Dates",br
Game Changers 2023 Series I: EMEA,https://www.vlr.gg/event/1574/game-changers-2023-series-i-emea,ongoing,"$32,898								
									Prize Pool","Apr 5—May 21								
									Dates",eu
Challengers League Japan: Split 2,https://www.vlr.gg/event/1531/challengers-league-japan-split-2,ongoing,"$37,515								
									Prize Pool","Mar 21—Jun 4								
									Dates",jp
Challengers League MENA Resilience: Split 2,https://www.vlr.gg/event/1563/challengers-league-mena-resilience-split-2,ongoing,"$35,000								
									Prize Pool","Apr 1—May 17								
									Dates",un
Challengers League France Revolution: Split 2,https://www.vlr.gg/event/1577/challengers-league-france-revolution-split-2,ongoing,"$24,535								
									Prize Pool","Apr 8—Jun 10								
									Dates",fr
VALORANT Rise: Latin America North,https://www.vlr.gg/event/1627/valorant-rise-latin-america-north,ongoing,"$0								
									Prize Pool","Apr 23—Jun 4								
									Dates",un
Challengers League DACH Evolution: Split 2,https://www.vlr.gg/event/1552/challengers-league-dach-evolution-split-2,ongoing,"$27,143								
									Prize Pool","Apr 1—Jun 11								
									Dates",de
VALORANT MENA Al Majd,https://www.vlr.gg/event/1632/valorant-mena-al-majd,ongoing,"$4,000								
									Prize Pool","May 4—17								
									Dates",un
Challengers League Portugal Tempest: Split 2,https://www.vlr.gg/event/1551/challengers-league-portugal-tempest-split-2,ongoing,"TBD								
									Prize Pool","Apr 1—May 21								
									Dates",pt
Circuito Tormenta: Liga Radiante 23 S2,https://www.vlr.gg/event/1625/circuito-tormenta-liga-radiante-23-s2,ongoing,"$0								
									Prize Pool","May 3—28								
									Dates",es
