date,match_time,team_1,team_1_score,team_2,team_2_score,live_status,event_name,event_series,vod_url
05/04/2023,15:00,Optix,1,9z Team,0,LIVE,Challengers League LATAM South FiRe: Split 2,Regular Phase–Week 2,
05/04/2023,17:40,The Guard,–,Moist Moguls,–,Upcoming,Challengers League: North America,Split 2–Week 8,
05/04/2023,18:00,Keyd Stars,–,Liberty,–,Upcoming,Challengers League Brazil: Split 2,Regular Season–Week 5,
05/04/2023,18:00,Furious Gaming,–,INFINITY,–,Upcoming,Challengers League LATAM South FiRe: Split 2,Regular Phase–Week 2,
05/04/2023,20:00,Crest Gaming Zst,–,SCARZ,–,Upcoming,Challengers League Japan: Split 2,Main Stage–Day 11,
05/04/2023,20:00,RETA Esports,–,19esports,–,Upcoming,Challengers League LATAM North ACE: Split 2,Regular Phase–Week 2,
05/04/2023,23:00,IGZIST,–,Sengoku Gaming,–,Upcoming,Challengers League Japan: Split 2,Main Stage–Day 11,
05/05/2023,02:00,NORTHEPTION,–,Jadeite,–,Upcoming,Challengers League Japan: Split 2,Main Stage–Day 11,
05/05/2023,03:30,Funcrew,–,xyz,–,Upcoming,Challengers League Oceania: Split 2,Group Stage–Week 5,
05/05/2023,04:00,FunPlus Phoenix,–,Kingzone,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Group Stage–Opening (C),
05/05/2023,05:00,Made in Thailand,–,The Infinity Esport,–,Upcoming,Challengers League Thailand: Split 2,Group Stage–Week 5,
05/05/2023,05:00,FENNEL,–,Crazy Raccoon,–,Upcoming,Challengers League Japan: Split 2,Main Stage–Day 11,
05/05/2023,05:30,95x Esports,–,Mammoth ESC,–,Upcoming,Challengers League Oceania: Split 2,Group Stage–Week 5,
05/05/2023,07:00,Sharper Esport,–,FULL SENSE,–,Upcoming,Challengers League Thailand: Split 2,Group Stage–Week 5,
05/05/2023,07:00,NTER,–,Night Wings Gaming,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Group Stage–Opening (C),
05/05/2023,08:30,Aster Army,–,Gods Reign,–,Upcoming,Challengers League South Asia: Split 2,League Stage–Week 2,
05/05/2023,11:00,Natus Vincere,–,Team Liquid,–,Upcoming,Champions Tour 2023: EMEA League,Regular Season–Week 6,
05/05/2023,14:00,Giants Gaming,–,Team Heretics,–,Upcoming,Champions Tour 2023: EMEA League,Regular Season–Week 6,
05/05/2023,15:00,G2 Esports,–,MAD Lions,–,Upcoming,Challengers League: North America,Split 2–Week 8,
05/05/2023,15:00,Optix,–,EBRO Gaming,–,Upcoming,Challengers League LATAM South FiRe: Split 2,Regular Phase–Week 2,
05/05/2023,18:00,Oxygen Esports,–,TSM,–,Upcoming,Challengers League: North America,Split 2–Week 8,
05/05/2023,18:00,All Knights,–,Furious Gaming,–,Upcoming,Challengers League LATAM South FiRe: Split 2,Regular Phase–Week 2,
05/06/2023,03:00,Talon Esports,–,Gen.G,–,Upcoming,Champions Tour 2023: Pacific League,League Play–Week 7,
05/06/2023,04:00,Totoro Gaming,–,Gank Gaming,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Group Stage–Opening (D),
05/06/2023,06:00,ZETA DIVISION,–,Paper Rex,–,Upcoming,Champions Tour 2023: Pacific League,League Play–Week 7,
05/06/2023,07:00,Dragon Ranger Gaming,–,Rare Atom,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Group Stage–Opening (D),
05/06/2023,09:00,GTZ Esports,–,EGN Esports,–,Upcoming,Challengers League Portugal Tempest: Split 2,Regular Season–Round 11,
05/06/2023,09:30,Papara SuperMassive,–,S2G Esports,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 5,
05/06/2023,09:30,Orangutan,–,Velocity Gaming,–,Upcoming,Challengers League South Asia: Split 2,League Stage–Week 2,
05/06/2023,10:00,FTW Esports,–,Impulse GW,–,Upcoming,Challengers League Portugal Tempest: Split 2,Regular Season–Round 11,
05/06/2023,10:00,Unicorns of Love,–,Ovation eSports,–,Upcoming,Challengers League DACH Evolution: Split 2,Group Stage–Round 7,
05/06/2023,10:00,Anonymo Esports,–,B8 Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 11,
05/06/2023,11:00,EX0TIK GAMING,–,Panthers Esports,–,Upcoming,Challengers League Portugal Tempest: Split 2,Regular Season–Round 11,
