date,match_time,team_1,team_1_score,team_2,team_2_score,live_status,event_name,event_series
05/17/2023,15:00,TropiCaos,0,Keyd Stars,0,LIVE,Challengers League Brazil: Split 2,Regular Season–Week 7
05/17/2023,15:00,9z Team,0,All Knights,0,LIVE,Challengers League LATAM South FiRe: Split 2,Regular Phase–Week 4
05/17/2023,15:30,The Guard,–,G2 Esports,–,Upcoming,Challengers League: North America,Split 2–Week 10
05/17/2023,18:00,RED Canids,–,The Union,–,Upcoming,Challengers League Brazil: Split 2,Regular Season–Week 7
05/17/2023,18:00,EBRO Gaming,–,Furious Gaming,–,Upcoming,Challengers League LATAM South FiRe: Split 2,Regular Phase–Week 4
05/17/2023,19:00,Shopify Rebellion,–,Turtle Troop,–,Upcoming,Challengers League: North America,Split 2–Week 10
05/18/2023,02:00,Le Crapaud,–,ARF TEAM,–,Upcoming,Challengers League Indonesia: Split 2,Final Qualifier–Round 7
05/18/2023,02:00,Dplus Esports,–,Gwangju Shadow,–,Upcoming,World Cyber Games Challengers League Korea: Split 2,Playoffs–Upper Semifinals
05/18/2023,03:30,Funcrew,–,Mammoth ESC,–,Upcoming,Challengers League Oceania: Split 2,Group Stage–Week 7
05/18/2023,04:00,Attacking Soul Esports,–,EDward Gaming,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Playoffs–Upper Semifinals
05/18/2023,05:00,Alter Ego,–,Hike Digital Esports,–,Upcoming,Challengers League Indonesia: Split 2,Final Qualifier–Round 7
05/18/2023,05:00,Maru Gaming,–,Nongshim RedForce,–,Upcoming,World Cyber Games Challengers League Korea: Split 2,Playoffs–Upper Semifinals
05/18/2023,05:30,Koopa Troopas,–,xyz,–,Upcoming,Challengers League Oceania: Split 2,Group Stage–Week 7
05/18/2023,07:00,Bilibili Gaming,–,FunPlus Phoenix,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Playoffs–Upper Semifinals
05/18/2023,08:30,Medal Esports,–,Aster Army,–,Upcoming,Challengers League South Asia: Split 2,League Stage–Week 4
05/18/2023,11:00,Team Heretics,–,Team Vitality,–,Upcoming,Champions Tour 2023: EMEA League,Regular Season–Week 8
05/18/2023,14:00,Karmine Corp,–,Giants Gaming,–,Upcoming,Champions Tour 2023: EMEA League,Regular Season–Week 8
05/19/2023,03:00,ZETA DIVISION,–,Team Secret,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Upper Round 1
05/19/2023,04:00,TBD,–,TBD,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Playoffs–Lower Round 1
05/19/2023,05:30,T1,–,Gen.G,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Upper Round 1
05/19/2023,07:00,TBD,–,TBD,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Playoffs–Upper Final
05/19/2023,08:30,GodLike Esports,–,True Rippers,–,Upcoming,Challengers League South Asia: Split 2,League Stage–Week 4
05/19/2023,11:00,KOI,–,Team Liquid,–,Upcoming,Champions Tour 2023: EMEA League,Regular Season–Week 8
05/19/2023,14:00,BBL Esports,–,FUT Esports,–,Upcoming,Champions Tour 2023: EMEA League,Regular Season–Week 8
05/20/2023,03:00,DRX,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Upper Semifinals
05/20/2023,04:00,TBD,–,TBD,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Playoffs–Lower Final
05/20/2023,05:30,Paper Rex,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Upper Semifinals
05/20/2023,09:30,Fire Flux Esports,–,Galatasaray Esports,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 7
05/20/2023,09:30,Aster Army,–,GodLike Esports,–,Upcoming,Challengers League South Asia: Split 2,League Stage–Week 4
05/20/2023,10:00,Acend,–,B8 Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 17
05/20/2023,11:00,G2 Gozen,–,Acend Rising,–,Upcoming,Game Changers 2023 Series I: EMEA,Playoffs–Lower Final
05/20/2023,12:00,GONext Esports,–,Diamant Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 17
05/20/2023,12:30,Galakticos,–,Digital Athletics,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 7
05/20/2023,13:00,Enterprise Esports,–,Anonymo Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 17
05/20/2023,14:00,NOM Esports,–,Zero Tenacity,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 17
05/21/2023,03:00,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Lower Round 1
05/21/2023,04:00,TBD,–,TBD,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Playoffs–Grand Final
05/21/2023,05:30,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Lower Round 1
05/21/2023,09:30,Thunderbolts Gaming,–,Papara SuperMassive,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 7
05/21/2023,09:30,Revenant Esports,–,Reckoning Esports,–,Upcoming,Challengers League South Asia: Split 2,League Stage–Week 4
05/21/2023,10:00,GONext Esports,–,Anonymo Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 18
05/21/2023,10:00,AYM Esports,–,KPI Gaming,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 17
05/21/2023,11:00,NOM Esports,–,B8 Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 18
05/21/2023,11:00,BBL Queens,–,TBD,–,Upcoming,Game Changers 2023 Series I: EMEA,Playoffs–Grand Final
05/21/2023,11:00,Falcons,–,ZETA Gaming,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 17
05/21/2023,12:00,Enterprise Esports,–,Zero Tenacity,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 18
05/21/2023,12:00,Ramboot Club,–,Rebels Gaming,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 17
05/21/2023,12:30,Fenerbahçe Esports,–,İstanbul Wildcats,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 7
05/21/2023,13:00,Acend,–,TBD,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 18
05/21/2023,13:00,UCAM Tokiers,–,Team Queso,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 17
05/21/2023,14:00,Movistar Riders,–,Case Esports,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 17
05/22/2023,03:00,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Upper Final
05/22/2023,05:30,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Lower Round 2
05/22/2023,09:30,Digital Athletics,–,Galatasaray Esports,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 7
05/22/2023,10:00,AYM Esports,–,Movistar Riders,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 18
05/22/2023,11:00,Akroma,–,Zerance,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 7
05/22/2023,11:00,Case Esports,–,Rebels Gaming,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 18
05/22/2023,12:00,Mandatory,–,Gentle Mates,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 7
05/22/2023,12:00,Team Queso,–,Falcons,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 18
05/22/2023,12:30,Thunderbolts Gaming,–,S2G Esports,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 7
05/22/2023,13:00,BLX UTD,–,3DMAX,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 7
05/22/2023,13:00,KPI Gaming,–,Ramboot Club,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 18
05/22/2023,14:00,WYLDE,–,VALIANT,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 7
05/22/2023,14:00,ZETA Gaming,–,UCAM Tokiers,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 18
05/22/2023,15:00,Solary,–,Joblife,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 7
05/23/2023,02:00,Alter Ego,–,ARF TEAM,–,Upcoming,Challengers League Indonesia: Split 2,Final Qualifier–Round 7
05/23/2023,05:00,BOOM Esports,–,Bigetron Arctic,–,Upcoming,Challengers League Indonesia: Split 2,Final Qualifier–Round 7
05/24/2023,02:00,TBD,–,SLT Seongam,–,Upcoming,World Cyber Games Challengers League Korea: Split 2,Playoffs–Lower Round 1
05/24/2023,03:00,GameLab Alpha,–,ZOL Esports,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Upper Round 1
05/24/2023,05:00,TBD,–,Incheon On Sla2ers,–,Upcoming,World Cyber Games Challengers League Korea: Split 2,Playoffs–Lower Round 1
05/24/2023,06:00,Action PH,–,MVP Esports,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Upper Round 1
05/25/2023,02:00,TBD,–,TBD,–,Upcoming,World Cyber Games Challengers League Korea: Split 2,Playoffs–Upper Final
05/25/2023,03:00,Oasis Gaming,–,TBD,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Upper Semifinals
05/25/2023,05:00,TBD,–,TBD,–,Upcoming,World Cyber Games Challengers League Korea: Split 2,Playoffs–Lower Round 2
05/25/2023,06:00,NAOS,–,TBD,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Upper Semifinals
05/26/2023,02:00,TBD,–,TBD,–,Upcoming,World Cyber Games Challengers League Korea: Split 2,Playoffs–Lower Final
05/26/2023,03:00,TBD,–,TBD,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Lower Round 1
05/26/2023,06:00,TBD,–,TBD,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Lower Round 1
05/27/2023,03:00,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Lower Final
05/28/2023,03:00,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Grand Final
06/02/2023,03:00,TBD,–,TBD,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Upper Final
06/02/2023,06:00,TBD,–,TBD,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Lower Round 2
06/02/2023,23:30,SCARZ,–,FENNEL,–,Upcoming,Challengers League Japan: Split 2,Playoffs–Lower Final
06/03/2023,02:00,TBD,–,TBD,–,Upcoming,World Cyber Games Challengers League Korea: Split 2,Playoffs–Grand Final
06/03/2023,03:00,TBD,–,TBD,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Lower Final
06/03/2023,23:30,Jadeite,–,TBD,–,Upcoming,Challengers League Japan: Split 2,Playoffs–Grand Final
06/04/2023,03:00,TBD,–,TBD,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Grand Final
