date,match_time,team_1,team_1_score,team_2,team_2_score,live_status,event_name,event_series
05/13/2023,04:00,Team Secret,–,DRX,–,Upcoming,Champions Tour 2023: Pacific League,League Play–Week 8
05/13/2023,05:00,Attacking Soul Esports,–,Douyu Gaming,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Group Stage–Decider (A)
05/13/2023,07:00,Global Esports,–,DetonatioN FocusMe,–,Upcoming,Champions Tour 2023: Pacific League,League Play–Week 8
05/13/2023,08:00,Monarch Effect,–,Weibo Gaming,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Group Stage–Decider (B)
05/13/2023,10:30,Galakticos,–,Thunderbolts Gaming,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 6
05/13/2023,10:30,Velocity Gaming,–,Revenant Esports,–,Upcoming,Challengers League South Asia: Split 2,League Stage–Week 3
05/13/2023,11:00,TBD,–,Zero Tenacity,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 13
05/13/2023,12:00,Anonymo Esports,–,Rapid Ninjas,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 13
05/13/2023,12:00,Zerance,–,WYLDE,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/13/2023,12:00,Team Falcons,–,Twisted Minds Esports,–,Upcoming,Challengers League MENA Resilience: Split 2,GCC and Iraq–Upper Final
05/13/2023,12:00,Karmine Corp GC,–,CBA,–,Upcoming,Game Changers 2023 Series I: EMEA,Playoffs–Upper Round 1
05/13/2023,13:00,TBD,–,TBD,–,Upcoming,Challengers League Italy Rinascimento: Split 2,Regular Season–Week 7
05/13/2023,13:00,B8 Esports,–,Diamant Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 13
05/13/2023,13:00,3DMAX,–,Solary,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/13/2023,13:30,Galatasaray Esports,–,Papara SuperMassive,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 6
05/13/2023,14:00,TBD,–,TBD,–,Upcoming,Challengers League Italy Rinascimento: Split 2,Regular Season–Week 7
05/13/2023,14:00,Enterprise Esports,–,Acend,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 13
05/13/2023,14:00,Mandatory,–,VALIANT,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/13/2023,14:00,NASR Esports,–,Team RA'AD,–,Upcoming,Challengers League MENA Resilience: Split 2,Levant and North Africa–Upper Final
05/13/2023,15:00,FURIA,–,100 Thieves,–,Upcoming,Champions Tour 2023: Americas League,Regular Season–Week 7
05/13/2023,15:00,TBD,–,TBD,–,Upcoming,Challengers League Italy Rinascimento: Split 2,Regular Season–Week 7
05/13/2023,15:00,GONext Esports,–,NOM Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 13
05/13/2023,15:00,Joblife,–,Gentle Mates,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/13/2023,15:00,G2 Gozen,–,Guild X,–,Upcoming,Game Changers 2023 Series I: EMEA,Playoffs–Upper Round 1
05/13/2023,16:00,TBD,–,TBD,–,Upcoming,Challengers League Italy Rinascimento: Split 2,Regular Season–Week 7
05/13/2023,16:00,BLX UTD,–,Akroma,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/13/2023,18:00,Evil Geniuses,–,MIBR,–,Upcoming,Champions Tour 2023: Americas League,Regular Season–Week 7
05/14/2023,04:00,Talon Esports,–,Rex Regum Qeon,–,Upcoming,Champions Tour 2023: Pacific League,League Play–Week 8
05/14/2023,05:00,NTER,–,Kingzone,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Group Stage–Decider (C)
05/14/2023,07:00,ZETA DIVISION,–,Gen.G,–,Upcoming,Champions Tour 2023: Pacific League,League Play–Week 8
05/14/2023,08:00,Rare Atom,–,Dragon Ranger Gaming,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Group Stage–Decider (D)
05/14/2023,10:30,Digital Athletics,–,Fire Flux Esports,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 6
05/14/2023,10:30,Reckoning Esports,–,MLT Esports,–,Upcoming,Challengers League South Asia: Split 2,League Stage–Week 3
05/14/2023,11:00,B8 Esports,–,Rapid Ninjas,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 14
05/14/2023,11:00,Rebels Gaming,–,AYM Esports,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 14
05/14/2023,12:00,Zero Tenacity,–,Acend,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 14
05/14/2023,12:00,3DMAX,–,Gentle Mates,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/14/2023,12:00,BBL Queens,–,TBD,–,Upcoming,Game Changers 2023 Series I: EMEA,Playoffs–Upper Semifinals
05/14/2023,12:00,Falcons,–,UCAM Tokiers,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 14
05/14/2023,13:00,TBD,–,TBD,–,Upcoming,Challengers League Italy Rinascimento: Split 2,Regular Season–Week 7
05/14/2023,13:00,Enterprise Esports,–,GONext Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 14
05/14/2023,13:00,Mandatory,–,Zerance,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/14/2023,13:00,Ramboot Club,–,Movistar Riders,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 14
05/14/2023,13:30,İstanbul Wildcats,–,S2G Esports,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 6
05/14/2023,14:00,TBD,–,TBD,–,Upcoming,Challengers League Italy Rinascimento: Split 2,Regular Season–Week 7
05/14/2023,14:00,TBD,–,NOM Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 14
05/14/2023,14:00,Joblife,–,VALIANT,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/14/2023,14:00,Case Esports,–,KPI Gaming,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 14
05/14/2023,15:00,KRÜ Esports,–,Sentinels,–,Upcoming,Champions Tour 2023: Americas League,Regular Season–Week 7
05/14/2023,15:00,TBD,–,TBD,–,Upcoming,Challengers League Italy Rinascimento: Split 2,Regular Season–Week 7
05/14/2023,15:00,Anonymo Esports,–,Diamant Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 14
05/14/2023,15:00,BLX UTD,–,Solary,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/14/2023,15:00,Acend Rising,–,TBD,–,Upcoming,Game Changers 2023 Series I: EMEA,Playoffs–Upper Semifinals
05/14/2023,15:00,ZETA Gaming,–,Team Queso,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 14
05/14/2023,16:00,TBD,–,TBD,–,Upcoming,Challengers League Italy Rinascimento: Split 2,Regular Season–Week 7
05/14/2023,16:00,WYLDE,–,Akroma,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/14/2023,18:00,NRG Esports,–,LOUD,–,Upcoming,Champions Tour 2023: Americas League,Regular Season–Week 7
05/15/2023,04:00,T1,–,DRX,–,Upcoming,Champions Tour 2023: Pacific League,League Play–Week 8
05/15/2023,07:00,Team Secret,–,Global Esports,–,Upcoming,Champions Tour 2023: Pacific League,League Play–Week 8
05/15/2023,10:00,Impulse GW,–,EGN Esports,–,Upcoming,Challengers League Portugal Tempest: Split 2,Regular Season–Round 13
05/15/2023,10:30,Galakticos,–,Fenerbahçe Esports,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 6
05/15/2023,10:30,True Rippers,–,Aster Army,–,Upcoming,Challengers League South Asia: Split 2,League Stage–Week 3
05/15/2023,11:00,Team Vikings,–,EX0TIK GAMING,–,Upcoming,Challengers League Portugal Tempest: Split 2,Regular Season–Round 13
05/15/2023,11:00,Enterprise Esports,–,Diamant Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 15
05/15/2023,11:00,ZETA Gaming,–,Rebels Gaming,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 15
05/15/2023,12:00,SAW,–,FTW Esports,–,Upcoming,Challengers League Portugal Tempest: Split 2,Regular Season–Round 13
05/15/2023,12:00,VAMONOS,–,Coalesce,–,Upcoming,Challengers League Northern Europe Polaris: Split 2,Group Stage –Round 7
05/15/2023,12:00,B8 Esports,–,Zero Tenacity,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 15
05/15/2023,12:00,Solary,–,Gentle Mates,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/15/2023,12:00,TBD,–,TBD,–,Upcoming,Game Changers 2023 Series I: EMEA,Playoffs–Lower Round 1
05/15/2023,12:00,UCAM Tokiers,–,AYM Esports,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 15
05/15/2023,13:00,Panthers Esports,–,GTZ Esports,–,Upcoming,Challengers League Portugal Tempest: Split 2,Regular Season–Round 13
05/15/2023,13:00,NOM Esports,–,Acend,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 15
05/15/2023,13:00,Mandatory,–,Akroma,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/15/2023,13:00,Falcons,–,Case Esports,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 15
05/15/2023,14:00,GONext Esports,–,Rapid Ninjas,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 15
05/15/2023,14:00,Zerance,–,Joblife,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/15/2023,14:00,Movistar Riders,–,KPI Gaming,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 15
05/15/2023,15:00,Leviatán,–,Cloud9,–,Upcoming,Champions Tour 2023: Americas League,Regular Season–Week 7
05/15/2023,15:00,Les Petits Bouffons,–,FOKUS,–,Upcoming,Challengers League Northern Europe Polaris: Split 2,Group Stage –Round 7
05/15/2023,15:00,TBD,–,Anonymo Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 15
05/15/2023,15:00,WYLDE,–,BLX UTD,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/15/2023,15:00,TBD,–,TBD,–,Upcoming,Game Changers 2023 Series I: EMEA,Playoffs–Lower Round 1
05/15/2023,15:00,Ramboot Club,–,Team Queso,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 15
05/15/2023,16:00,3DMAX,–,VALIANT,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/16/2023,04:00,Talon Esports,–,DetonatioN FocusMe,–,Upcoming,Champions Tour 2023: Pacific League,League Play–Week 8
05/16/2023,05:00,TBD,–,TBD,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Playoffs–Quarterfinals
05/16/2023,07:00,Rex Regum Qeon,–,Paper Rex,–,Upcoming,Champions Tour 2023: Pacific League,League Play–Week 8
05/16/2023,08:00,TBD,–,TBD,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Playoffs–Quarterfinals
05/16/2023,10:00,GTZ Esports,–,Impulse GW,–,Upcoming,Challengers League Portugal Tempest: Split 2,Regular Season–Round 14
05/16/2023,11:00,Panthers Esports,–,SAW,–,Upcoming,Challengers League Portugal Tempest: Split 2,Regular Season–Round 14
05/16/2023,11:00,GONext Esports,–,Acend,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 16
05/16/2023,11:00,Ramboot Club,–,AYM Esports,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 16
05/16/2023,12:00,EGN Esports,–,Team Vikings,–,Upcoming,Challengers League Portugal Tempest: Split 2,Regular Season–Round 14
05/16/2023,12:00,eMasters,–,Apeks,–,Upcoming,Challengers League Northern Europe Polaris: Split 2,Group Stage –Round 7
05/16/2023,12:00,Enterprise Esports,–,B8 Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 16
05/16/2023,12:00,Akroma,–,VALIANT,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/16/2023,12:00,TBD,–,TBD,–,Upcoming,Game Changers 2023 Series I: EMEA,Playoffs–Lower Round 2
05/16/2023,12:00,Falcons,–,KPI Gaming,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 16
05/16/2023,13:00,EX0TIK GAMING,–,FTW Esports,–,Upcoming,Challengers League Portugal Tempest: Split 2,Regular Season–Round 14
05/16/2023,13:00,NOM Esports,–,Rapid Ninjas,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 16
05/16/2023,13:00,WYLDE,–,Gentle Mates,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/16/2023,13:00,Rebels Gaming,–,Team Queso,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 16
05/16/2023,14:00,TBD,–,Diamant Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 16
05/16/2023,14:00,Mandatory,–,Solary,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/16/2023,14:00,Case Esports,–,ZETA Gaming,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 16
05/16/2023,15:00,Anonymo Esports,–,Zero Tenacity,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 16
05/16/2023,15:00,3DMAX,–,Joblife,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/16/2023,15:00,TBD,–,TBD,–,Upcoming,Game Changers 2023 Series I: EMEA,Playoffs–Upper Final
05/16/2023,15:00,Movistar Riders,–,UCAM Tokiers,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 16
05/16/2023,16:00,Liberty,–,00Nation,–,Upcoming,Challengers League Brazil: Split 2,Regular Season–Week 7
05/16/2023,16:00,BLX UTD,–,Zerance,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 6
05/16/2023,18:00,FUSION,–,19esports,–,Upcoming,Challengers League LATAM North ACE: Split 2,Regular Phase–Week 4
05/16/2023,19:00,TBK Esports,–,ODDIK,–,Upcoming,Challengers League Brazil: Split 2,Regular Season–Week 7
05/16/2023,21:00,RETA Esports,–,Six Karma,–,Upcoming,Challengers League LATAM North ACE: Split 2,Regular Phase–Week 4
05/17/2023,00:00,E-Xolos LAZER,–,Skull Cracker,–,Upcoming,Challengers League LATAM North ACE: Split 2,Regular Phase–Week 4
05/17/2023,03:00,Bigetron Arctic,–,Alter Ego,–,Upcoming,Challengers League Indonesia: Split 2,Final Qualifier–Round 6
05/17/2023,03:00,Gwangju Shadow,–,SLT Seongam,–,Upcoming,World Cyber Games Challengers League Korea: Split 2,Playoffs–Upper Round 1
05/17/2023,03:00,Incheon On Sla2ers,–,Nongshim RedForce,–,Upcoming,World Cyber Games Challengers League Korea: Split 2,Playoffs–Upper Round 1
05/17/2023,04:30,Guangzhou Long Lionz,–,95x Esports,–,Upcoming,Challengers League Oceania: Split 2,Group Stage–Week 7
05/17/2023,05:00,TBD,–,TBD,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Playoffs–Quarterfinals
05/17/2023,06:00,BOOM Esports,–,Dewa United Esports,–,Upcoming,Challengers League Indonesia: Split 2,Final Qualifier–Round 6
05/17/2023,06:30,The Who?,–,NerdPunt,–,Upcoming,Challengers League Oceania: Split 2,Group Stage–Week 7
05/17/2023,08:00,TBD,–,TBD,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Playoffs–Quarterfinals
05/17/2023,09:30,Velocity Gaming,–,Reckoning Esports,–,Upcoming,Challengers League South Asia: Split 2,League Stage–Week 4
05/17/2023,13:00,Optix,–,INFINITY,–,Upcoming,Challengers League LATAM South FiRe: Split 2,Regular Phase–Week 4
05/17/2023,14:00,FNATIC,–,Natus Vincere,–,Upcoming,Champions Tour 2023: EMEA League,Regular Season–Week 8
05/17/2023,16:00,TropiCaos,–,Keyd Stars,–,Upcoming,Challengers League Brazil: Split 2,Regular Season–Week 7
05/17/2023,16:00,9z Team,–,All Knights,–,Upcoming,Challengers League LATAM South FiRe: Split 2,Regular Phase–Week 4
05/17/2023,19:00,RED Canids,–,The Union,–,Upcoming,Challengers League Brazil: Split 2,Regular Season–Week 7
05/17/2023,19:00,EBRO Gaming,–,Furious Gaming,–,Upcoming,Challengers League LATAM South FiRe: Split 2,Regular Phase–Week 4
05/18/2023,03:00,Le Crapaud,–,ARF TEAM,–,Upcoming,Challengers League Indonesia: Split 2,Final Qualifier–Round 7
05/18/2023,03:00,Dplus Esports,–,TBD,–,Upcoming,World Cyber Games Challengers League Korea: Split 2,Playoffs–Upper Semifinals
05/18/2023,03:00,Maru Gaming,–,TBD,–,Upcoming,World Cyber Games Challengers League Korea: Split 2,Playoffs–Upper Semifinals
05/18/2023,04:30,Funcrew,–,Mammoth ESC,–,Upcoming,Challengers League Oceania: Split 2,Group Stage–Week 7
05/18/2023,05:00,TBD,–,TBD,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Playoffs–Upper Semifinals
05/18/2023,06:00,Alter Ego,–,Hike Digital Esports,–,Upcoming,Challengers League Indonesia: Split 2,Final Qualifier–Round 7
05/18/2023,06:30,Koopa Troopas,–,xyz,–,Upcoming,Challengers League Oceania: Split 2,Group Stage–Week 7
05/18/2023,08:00,TBD,–,TBD,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Playoffs–Upper Semifinals
05/18/2023,09:30,Medal Esports,–,Aster Army,–,Upcoming,Challengers League South Asia: Split 2,League Stage–Week 4
05/18/2023,12:00,Team Heretics,–,Team Vitality,–,Upcoming,Champions Tour 2023: EMEA League,Regular Season–Week 8
05/18/2023,15:00,Karmine Corp,–,Giants Gaming,–,Upcoming,Champions Tour 2023: EMEA League,Regular Season–Week 8
05/19/2023,04:00,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Upper Round 1
05/19/2023,05:00,TBD,–,TBD,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Playoffs–Lower Round 1
05/19/2023,06:30,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Upper Round 1
05/19/2023,08:00,TBD,–,TBD,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Playoffs–Upper Final
05/19/2023,09:30,GodLike Esports,–,True Rippers,–,Upcoming,Challengers League South Asia: Split 2,League Stage–Week 4
05/19/2023,12:00,KOI,–,Team Liquid,–,Upcoming,Champions Tour 2023: EMEA League,Regular Season–Week 8
05/19/2023,15:00,BBL Esports,–,FUT Esports,–,Upcoming,Champions Tour 2023: EMEA League,Regular Season–Week 8
05/20/2023,04:00,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Upper Semifinals
05/20/2023,05:00,TBD,–,TBD,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Playoffs–Lower Final
05/20/2023,06:30,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Upper Semifinals
05/20/2023,10:30,Fire Flux Esports,–,Galatasaray Esports,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 7
05/20/2023,10:30,Aster Army,–,GodLike Esports,–,Upcoming,Challengers League South Asia: Split 2,League Stage–Week 4
05/20/2023,11:00,Acend,–,B8 Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 17
05/20/2023,12:00,TBD,–,Rapid Ninjas,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 17
05/20/2023,12:00,TBD,–,TBD,–,Upcoming,Game Changers 2023 Series I: EMEA,Playoffs–Lower Final
05/20/2023,13:00,GONext Esports,–,Diamant Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 17
05/20/2023,13:30,Galakticos,–,Digital Athletics,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 7
05/20/2023,14:00,Enterprise Esports,–,Anonymo Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 17
05/20/2023,15:00,NOM Esports,–,Zero Tenacity,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 17
05/21/2023,04:00,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Lower Round 1
05/21/2023,05:00,TBD,–,TBD,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Playoffs–Grand Final
05/21/2023,06:30,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Lower Round 1
05/21/2023,10:30,Thunderbolts Gaming,–,Papara SuperMassive,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 7
05/21/2023,10:30,Revenant Esports,–,Reckoning Esports,–,Upcoming,Challengers League South Asia: Split 2,League Stage–Week 4
05/21/2023,11:00,GONext Esports,–,Anonymo Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 18
05/21/2023,11:00,AYM Esports,–,KPI Gaming,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 17
05/21/2023,12:00,NOM Esports,–,B8 Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 18
05/21/2023,12:00,TBD,–,TBD,–,Upcoming,Game Changers 2023 Series I: EMEA,Playoffs–Grand Final
05/21/2023,12:00,Falcons,–,ZETA Gaming,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 17
05/21/2023,13:00,Enterprise Esports,–,Zero Tenacity,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 18
05/21/2023,13:00,Ramboot Club,–,Rebels Gaming,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 17
05/21/2023,13:30,Fenerbahçe Esports,–,İstanbul Wildcats,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 7
05/21/2023,14:00,Acend,–,TBD,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 18
05/21/2023,14:00,UCAM Tokiers,–,Team Queso,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 17
05/21/2023,15:00,Rapid Ninjas,–,Diamant Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 18
05/21/2023,15:00,Movistar Riders,–,Case Esports,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 17
